epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
67,3565.44,0.64505,0.57862,1.29738,0.01681,0.91477,0.86984,0.92474,0.80276,0.48941,0.4042,1.29246,0.01204,0.000829431,0.000829431,0.000829431
68,3618.92,0.62321,0.5597,1.2798,0.0153,0.90798,0.87585,0.92426,0.80139,0.48649,0.40525,1.29584,0.01115,0.000731145,0.000731145,0.000731145
69,3671.75,0.62821,0.55601,1.28423,0.0166,0.91588,0.87527,0.92473,0.80112,0.48823,0.40377,1.29118,0.01199,0.000639518,0.000639518,0.000639518
70,3724.67,0.63123,0.55612,1.27958,0.01677,0.91734,0.87105,0.92414,0.80304,0.48743,0.40201,1.29055,0.01196,0.000554691,0.000554691,0.000554691
71,3786.64,0.49311,0.41219,1.22596,0.01519,0.90695,0.87437,0.92629,0.79727,0.49285,0.41304,1.3067,0.0111,0.000476796,0.000476796,0.000476796
72,3839.32,0.48425,0.38518,1.21157,0.01491,0.90786,0.87873,0.92954,0.80069,0.48958,0.40543,1.30066,0.01102,0.000405953,0.000405953,0.000405953
73,3891.93,0.485,0.38247,1.21187,0.01657,0.90698,0.87626,0.92899,0.80266,0.48253,0.39581,1.29065,0.01034,0.00034227,0.00034227,0.00034227
74,3944.44,0.47077,0.3681,1.20454,0.014,0.90963,0.88025,0.92932,0.80255,0.48371,0.39485,1.29303,0.01007,0.000285847,0.000285847,0.000285847
75,3996.94,0.48052,0.36938,1.20724,0.0152,0.91657,0.87262,0.92975,0.80469,0.48224,0.39068,1.28758,0.0109,0.000236769,0.000236769,0.000236769
76,4049.45,0.47325,0.3674,1.19822,0.01445,0.91494,0.87487,0.92971,0.80519,0.48303,0.39306,1.28941,0.01062,0.000195113,0.000195113,0.000195113
77,4102.16,0.46344,0.35609,1.18838,0.0139,0.90567,0.88562,0.93027,0.80473,0.48284,0.39178,1.28827,0.01075,0.000160943,0.000160943,0.000160943
78,4155.01,0.46905,0.36605,1.2015,0.01424,0.91479,0.87725,0.93008,0.80486,0.48212,0.38731,1.28791,0.01062,0.000134311,0.000134311,0.000134311
79,4207.45,0.47231,0.37066,1.19493,0.01446,0.91428,0.87727,0.93012,0.80563,0.48069,0.38581,1.28479,0.01082,0.000115259,0.000115259,0.000115259
80,4260.07,0.46278,0.3595,1.18927,0.01405,0.91057,0.87831,0.93005,0.80592,0.47935,0.38606,1.28378,0.01095,0.000103816,0.000103816,0.000103816
